brand,model,years,engines,parts_checked,unique_refs
CITROEN,Berlingo First Van,1996-2011,3,27,399
CITROEN,C4 Phase 3,2021,1,29,348
CITROEN,C4 Phase 3 BLUEHDI (BBYHSA) 110 CV Diesel 2020 - ... YHS (DV5RCE),-,1,29,362
CITROEN,C4 Phase 3 e-C4 (BCZKXC) 136 CV Électrique 2020 - ... ZKX (ZK01),-,1,29,333
CITROEN,Citroën Berlingo 2 Van,2009-2021,3,28,501
CITROEN,CITROËN C3 II Van / 3/5 portes (SC),2010-2016,1,29,358
CITROEN,"CITROËN C3 III Van / 3/5 portes (SX, SY)",2016,1,29,378
CITROEN,"CITROËN C3 III Van / 3/5 portes (SX, SY) BlueHDi 102 CV Diesel 2019 - ... YHY (DV5RD)",-,1,29,391
CITROEN,"CITROËN C3 III Van / 3/5 portes (SX, SY) PureTech 110 CV Essence 2019 - ... HNZ (EB2DT)",-,1,29,372
CITROEN,Citroën C3 Phase 1,2002-2012,3,26,333
CITROEN,Citroën C4 3/5 Portes,2004-2011,3,30,506
DACIA,Duster SUV,2010-2018,3,25,385
DACIA,Logan II Berline (L8),2013-2019,4,28,663
DACIA,Logan II Berline (L8) TCe 90 CV Essence 2012 - ... H4B 400,-,1,28,426
DACIA,Logan III Berline (DJF),2021,2,11,129
DACIA,Logan LS,2004-2005,3,28,549
DACIA,Logan MCV 2,2013-2019,3,28,580
DACIA,Sandero III (BJI),2021-2022,2,28,449
DACIA,Sandero Phase 2,2012-2018,2,29,586
DACIA,"Sandero Phase 2 TCe (B8M1, B8MA) 90 CV Essence 2012 - ... H4B 400",-,1,28,404
DACIA,Sandero SD,2008-2011,4,30,684
FIAT,Doblo II Van / Break (263),2010-2023,3,15,241
FIAT,Doblo III Van (K9) BlueHDi 130 131 CV Diesel 2022 - ... DV5RC,-,1,17,205
FIAT,Doblo III Van (K9) E-Doblo 136 CV Électrique 2022 - ... ZKX (ZK01),-,1,17,234
FIAT,Fiorino 3,2009-2015,3,20,248
FIAT,Fiorino Pick-up 147,1984-1989,2,13,170
FIAT,Punto 188,1999-2012,3,12,220
FIAT,Punto mk3 199,2012-2018,3,13,194
HYUNDAI,Accent LC,2000-2005,3,17,261
HYUNDAI,Getz tb,2002-2009,3,25,295
HYUNDAI,"i10 II Cargo (BA, IA)",2016,2,29,274
HYUNDAI,"i10 III 3/5 portes (AC3, AI3)",2019,1,26,163
HYUNDAI,i10 III Berline (AI3),2020,3,26,243
HYUNDAI,I20 Active,2015-2020,3,29,594
HYUNDAI,I20 Coupe,2015,3,29,687
HYUNDAI,"i20 III (BC3, BI3)",2020-2021,3,25,392
HYUNDAI,Tucson Van / SUV (TLE),2015-2020,2,21,216
KIA,Picanto ba,2004-2011,3,30,618
KIA,Picanto JA,2017,2,28,342
KIA,Picanto TA,2011-2018,2,44,552
KIA,Picanto Van / 3/5 portes,2014,1,29,242
KIA,"Rio IV Berline (SC, FB)",2017,2,26,314
KIA,Rio UB,2011-2017,3,29,430
KIA,Sportage I SUV Cabriolet (FM),1999-2002,1,13,57
KIA,Sportage je,2005-2010,3,23,355
KIA,Sportage K00,1994-1999,2,11,85
KIA,Sportage QL,2015-2022,3,20,283
KIA,Sportage SL,2010-2016,3,23,345
KIA,Sportage V (NQ5),2021,3,10,103
PEUGEOT,206 (2A/C),2002-2008,3,28,747
PEUGEOT,206 Plus,2009-2013,3,27,646
PEUGEOT,206 SW,2002-2007,2,27,359
PEUGEOT,207 CC,2009-2013,1,28,421
PEUGEOT,207 SW,2007-2012,1,28,426
PEUGEOT,207 WA WC,2006-2013,3,28,657
PEUGEOT,208 CC,2012-2019,5,25,806
PEUGEOT,208 Phase 2,2019,5,25,774
PEUGEOT,301 Berline,2012-2018,3,20,458
PEUGEOT,307 3 Portes,2000-2009,3,26,732
PEUGEOT,307 SW,2005-2008,1,26,403
PEUGEOT,308 3 Portes,2007-2014,3,24,586
PEUGEOT,"308 III 3/5 portes BlueHDi (FBYHZL, FBYHZT) 131 CV Diesel 2021 - ... YHZ (DV5RC)",-,1,20,232
PEUGEOT,308 III 3/5 portes e-308 (FMZKWZ) 156 CV Électrique 2023 - ... ZKW (ZK02),-,1,17,149
PEUGEOT,"308 III 3/5 portes PureTech (FPHNSL, FPHNST) 131 CV Essence 2021 - ... HNS (EB2ADTS)",-,1,18,235
PEUGEOT,308 Phase 2,2013-2021,3,24,469
PEUGEOT,406 Berline,1999-2004,3,13,253
PEUGEOT,407 Berline,2004-2010,3,19,381
PEUGEOT,Partner 2,2009-2016,3,23,472
RENAULT,Clio 2,2001-2006,3,29,446
RENAULT,Clio 3,2005-2014,3,29,533
RENAULT,Clio 4,2012-2021,3,29,521
RENAULT,Clio 4 Grandtour,2013-2021,2,29,607
RENAULT,Clio 5,2019-2022,4,29,627
RENAULT,Kangoo 1,2000-2007,3,26,383
RENAULT,Kangoo 2,2008-2013,3,26,456
RENAULT,Kangoo 2 Express,2008-2019,3,26,360
RENAULT,"Kangoo 2 Express Z.E. (FW0Z, FW1Z) 60 CV Électrique 2011 - ... 5AM 400",-,1,5,65
RENAULT,Kangoo Express 1,2000-2007,3,26,400
RENAULT,Kangoo II MPV (FC),2018,1,26,272
RENAULT,Kangoo III Box Body / MPV,2021,2,15,184
RENAULT,Kangoo III MPV Blue dCi (KJAB) 95 CV Diesel 2021 - ... K9K 877,-,1,15,148
RENAULT,Kangoo III MPV Blue dCi (KJAC) 116 CV Diesel 2021 - ... K9K 877,-,1,15,168
RENAULT,Kangoo III MPV TCe (KJMB) 131 CV Essence 2021 - ... H5H 490,-,1,16,172
RENAULT,Kangoo KW,2010-2013,2,22,373
RENAULT,Megane 2,2003-2008,4,28,494
RENAULT,Megane 3,2008-2016,4,28,620
RENAULT,Megane Scenic,1997-2001,3,29,587
RENAULT,Symbol / Thalia II,2008-2014,5,29,928
RENAULT,Symbol / Thalia III (L8),2013-2019,3,29,726
RENAULT,Symbol Thalia,1998-2009,6,29,1022
SEAT,Ibiza 3,2002-2009,3,18,261
TOYOTA,Corolla IX Berline (E120),2001-2008,3,12,144
TOYOTA,Corolla XII Berline (E210),2019,3,16,196
TOYOTA,"Hilux II Pick-up (N20) 1,6 (RN20) 67 CV Essence 1972 - 1978 12R",-,2,5,25
TOYOTA,Hilux III,1979-2015,5,16,224
TOYOTA,Hilux IV,1983-1989,3,9,98
TOYOTA,Hilux Mk8,2015,4,19,281
TOYOTA,Hilux N10,1971-1972,1,2,5
TOYOTA,Hilux V Pick-up,1988-1998,3,11,139
TOYOTA,Hilux VI Pick-up,1997-2005,3,13,160
TOYOTA,Hilux VIII,2015-2020,2,17,172
TOYOTA,Yaris 2,2005-2012,3,11,324
TOYOTA,Yaris 3,2011-2020,3,13,265
TOYOTA,Yaris NCP 15,2013-2016,3,8,54
VOLKSWAGEN,Caddy 3 Van,2004-2015,3,5,96
VOLKSWAGEN,Golf 4,1997-2004,3,7,127
VOLKSWAGEN,Golf 5,2003-2008,4,9,134
VOLKSWAGEN,Golf 6,2008-2012,3,8,134
VOLKSWAGEN,Passat B6,2005-2010,3,7,119
VOLKSWAGEN,Polo 5,2009-2017,3,8,157
VOLKSWAGEN,Polo 6,2017-2021,5,15,523
VOLKSWAGEN,Polo 9N,2002-2009,3,11,177
VOLKSWAGEN,Polo Vivo,2010-2017,1,7,99
VOLKSWAGEN,Polo Vivo 3/5 portes,2010-2017,2,13,150
